DISSOLVEID, STEWARD_ID
101583,50594
103608,62987
102180,8470
1982,53263
2353,12532
1922,51433
180,12697
615,12697
101375,60746
22,28868
102018,5799
1680,62171
102013,57650
1093,55586
101443,60746
2116,48345
102098,8470
820,21121
1580,28832
1762,63301
2347,43262
2497,43262
102166,8470
1420,54555
101405,60746
57,58672
132,62757
1471,51433
2006,52180
481,62757
101466,60746
1619,48797
854,7245
1377,48797
1768,62757
101324,60746
1859,63301
1618,28868
102178,8470
2238,44476
2134,51433
740,33909
1847,63301
101677,50594
101839,48345
14,48797
884,44659
723,63301
2560,63301
1199,47193
1649,51433
771,12697
1874,45392
1481,58672
104789,65516
1860,54555
2093,48345
101489,60746
101414,60746
199,12532
1072,61501
101648,50594
103110,27632
104109,43580
102282,45392
101686,20231
777,23968
104630,48797
209,12697
985,12532
103613,62987
2371,48797
1159,63301
2599,12697
1869,2836
37,63301
104682,2222
542,64686
1851,63301
102108,8470
1696,59525
1666,64686
102335,25462
1365,44476
101470,60746
101456,60746
567,6810
101292,60746
102053,5799
2068,25462
2496,45392
101630,50594
1,48797
457,35115
1973,51433
1546,52180
101935,12697
102117,8470
101884,44476
1640,48797
101608,50594
1746,7245
104632,48797
1563,48797
2682,33909
101943,5833
101576,50594
102287,45392
265,45392
101441,60746
434,48797
2566,48797
101515,60746
1067,44659
102294,45392
102089,5799
2372,48797
880,51433
1830,12697
2212,63301
600,12697
862,51433
101600,50594
102299,45392
1875,64267
183,48797
102209,22159
1402,62757
101833,48345
343,25462
947,8470
2558,48797
102829,20976
2362,48797
101678,50594
2683,48797
855,44659
2438,51433
2016,63301
104790,65516
576,44476
2352,48345
2443,7245
1037,51433
1274,48797
101281,60746
1930,48345
2220,48797
101458,60746
102248,22159
634,62171
1849,63301
1327,48797
2075,63301
67,63301
2595,51433
2359,57749
102255,22159
1464,5799
26,51433
2203,51433
101645,50594
102842,20976
2283,63408
104795,65516
1178,20231
101762,63301
101864,44476
1187,1960
103609,62987
103601,62987
1059,48797
104631,48797
1357,7245
251,7245
2281,27011
1148,27011
1114,27011
403,27011
969,27011
1808,27011
267,54555
731,27011
2721,27011
101333,60746
100560,3750
262,27011
101295,60746
2056,55586
1472,27011
1146,22754
2233,27011
1701,27011
2158,43580
864,51433
2500,21074
2272,27011
1215,27011
1380,27011
856,27011
1284,27011
1122,35887
2773,12697
413,48797
1068,12697
2422,20231
1310,57749
1536,48797
102164,8470
101505,60746
2574,51433
1021,28868
102135,8470
1523,48797
103109,27632
1506,27011
104681,2222
1917,44659
2469,33909
1455,57749
101775,63301
1032,58672
101483,60746
1854,63301
1607,51433
1892,7245
896,44476
797,12697
1003,5833
102049,5799
34,63301
835,21074
804,48797
1610,2836
2167,31607
2160,35115
2297,48345
1718,60746
2578,54555
101481,60746
101714,12532
2364,62757
1603,62757
1079,63301
102137,8470
2195,5833
101309,60746
101793,63301
1311,22159
101498,60746
1244,45392
1630,61501
2018,7245
1428,22159
1241,6810
935,53263
104638,48797
1790,48797
1782,12697
586,12697
1735,51433
563,48797
101968,5833
101828,48345
102205,22159
1305,22159
2061,39585
2080,48797
2047,45392
101926,51433
1086,48345
1161,57650
2548,48797
101396,60746
556,48797
1359,48797
772,12697
102396,37829
319,12697
2650,58672
2557,25462
101463,60746
2479,45392
2515,48797
2584,48797
101384,60746
103620,62987
234,62757
2688,43580
1776,58672
1983,44659
174,63301
1253,44476
932,8470
101382,60746
102014,57650
766,44476
1076,63301
1559,45392
2432,51433
390,63301
1185,63301
1483,51433
473,27934
1742,48797
78,58672
52,20231
2412,44476
181,12697
531,16980
552,45392
1261,44659
102298,45392
1108,7245
102251,22159
101345,60746
102116,8470
101706,12532
2474,44659
338,25462
1477,27934
101379,60746
101374,60746
101590,50594
367,63301
101692,57749
627,61580
102360,25462
103604,62987
1682,43580
1157,28832
1645,12697
2729,63301
837,48797
102292,45392
102044,5799
103628,53263
102269,45392
386,63301
970,25462
2556,16980
2616,48797
93,63301
102293,45392
1193,48797
747,6810
769,61501
827,50594
850,51433
1307,63301
104089,31607
2293,44659
35,63301
101479,60746
2115,44659
2133,28832
104082,43580
2580,5833
102055,5799
2722,7245
101395,60746
102284,45392
2003,48797
2309,40542
1878,44476
102225,22159
222,48797
2518,48797
2390,59683
446,48797
1541,51433
580,28694
1299,48797
101646,50594
101785,63301
139,63301
381,48797
210,25462
1008,63301
102384,37104
498,44659
102388,37104
2433,28832
104068,43580
119,27934
2386,44659
102088,5799
990,51433
103376,58672
101385,60746
104782,65516
102004,57650
1258,44659
173,8470
101474,60746
2170,12697
812,44659
101490,60746
801,63301
2406,58672
102236,22159
286,48797
101337,60746
375,48797
101276,60746
983,48345
103374,58672
1772,58672
101609,50594
2257,63301
104715,5127
2701,12697
2258,63301
1526,22159
2363,22159
1627,63301
1276,51433
101898,44476
102235,22159
104625,48797
2571,65516
955,8470
1912,48797
2704,5799
2092,25462
2219,58672
101691,20231
2225,61501
2268,12697
1224,62757
28,63301
710,48797
2361,63301
1615,45392
102835,20976
101914,44659
17,51433
1650,44659
429,44659
1910,12697
2681,63301
1345,44659
104290,27011
2473,27011
897,27011
1136,27011
982,27011
2752,27011
851,27011
1498,27011
1229,27011
2427,27011
676,27011
1266,27011
104700,5127
331,8470
2354,27011
1217,27011
965,27011
104140,57992
102402,37829
886,48345
102194,22159
2523,62987
2156,25462
2467,27011
2638,27011
101938,5833
1507,27011
1690,51433
1653,27011
517,27011
2457,27011
103632,53263
2677,48797
744,27011
910,27011
198,44476
102213,22159
102074,5799
1416,51433
1396,44659
101942,5833
101601,50594
825,45392
101338,60746
1074,63301
101457,60746
2470,7245
755,63301
1585,5799
101749,63301
104915,12697
101530,60746
645,61501
102121,8470
102841,20976
2031,44476
101485,60746
2270,12697
612,48797
2680,48797
950,25462
2084,63301
1041,12697
1419,6810
1232,64686
2413,63301
624,44476
247,48797
280,48797
1522,45916
2402,51433
2348,5799
102341,25462
407,48345
1527,28868
976,6810
2,58672
101454,60746
1556,55586
287,48797
101462,60746
102144,8470
2621,48345
2685,12697
787,26692
2494,22159
2569,28868
2378,45392
104621,48797
101271,60746
101493,60746
2140,57749
1679,28868
922,7245
394,63301
2765,44659
193,48797
1824,61501
1466,12697
102035,5799
2279,48345
1591,45392
2342,58672
709,12697
532,12697
102391,37104
101106,43262
657,33909
102218,22159
101531,60746
1424,178
248,48797
104691,16973
112,58672
12,26692
101912,44659
101758,63301
2086,48797
101420,60746
2491,48797
2053,48345
121,44659
185,5833
101342,60746
101584,50594
102154,8470
102338,25462
2622,48345
101937,5833
574,48797
1484,62171
1791,48797
2046,12697
228,48797
101949,5833
920,65516
104064,43580
102195,22159
69,63301
101445,60746
1775,58672
759,54555
102057,5799
103375,58672
101410,60746
2109,51433
2487,22159
444,44659
176,12697
101451,60746
1162,55586
805,48797
2282,51433
1100,44659
911,48797
2071,58672
2271,7245
894,63301
101637,50594
102334,25462
186,28868
7,48797
1119,57749
1237,22159
101296,60746
101605,50594
101611,50594
257,12697
698,48797
2197,51433
683,12697
1553,44659
102119,8470
1198,63301
1106,48797
122,48797
101603,50594
2265,48797
788,63301
964,48345
1143,57749
102056,5799
101953,5833
102063,5799
2034,63301
1180,48797
1628,8470
101842,33312
2519,48797
1979,63301
101748,63301
104063,43580
2117,58672
2380,63301
101987,28832
102115,8470
163,48797
101335,60746
101506,60746
1042,44659
2732,63301
1290,31788
102836,20976
101330,60746
1794,27934
692,26692
1087,48345
101594,50594
102212,22159
2369,8470
927,27934
104690,16973
921,57749
101316,60746
859,51433
104066,43580
2298,48345
1209,48797
102069,5799
101754,63301
104094,43580
2414,51433
1809,34395
101597,50594
1277,7245
101682,27934
765,44659
101484,60746
102311,45392
101336,60746
1349,7245
101781,63301
102041,5799
2255,63301
1104,7245
102093,5799
101612,50594
873,25462
1530,27934
102260,22159
2698,50594
2202,51433
378,44659
102297,45392
1152,63301
101948,5833
1382,7245
1179,62757
101317,60746
103617,62987
104635,48797
2288,58672
102252,22159
2104,51433
1236,51433
1354,8470
102395,37829
1294,6810
2237,50435
432,27011
438,27011
2142,27011
344,27011
2521,27011
1558,27011
681,27011
1626,27011
2417,27011
811,27011
507,27011
103115,27632
102080,5799
1370,27011
2719,27011
2013,33222
362,58672
1158,27011
101363,60746
1500,27011
44,27011
817,44659
1459,27011
764,27011
3,48797
104114,15903
2368,27011
102370,27011
101615,50594
499,44476
102327,33909
1612,51433
104622,48797
2346,48797
1509,51433
1195,33909
866,51433
1440,5799
2043,65516
104675,27015
102998,21732
2229,5799
570,58672
2366,58672
101642,50594
103621,62987
102349,25462
101716,61501
816,8470
1210,51433
103303,62760
1099,62987
1510,48797
2241,45392
1993,63301
1631,48797
101495,60746
102146,8470
1019,48345
2340,44476
1451,48345
1594,45392
1766,51433
1811,44659
101492,60746
102040,5799
730,51433
845,51433
1221,64686
1888,6810
1368,12697
177,12697
2723,5833
1005,63301
101614,50594
2429,48797
101986,28832
2100,28868
103631,53263
1358,44659
852,12697
1303,48797
2161,62757
101362,60746
101656,50594
101285,60746
537,48797
975,48797
2423,48797
881,48797
102008,57650
2351,17500
1315,51433
1655,28868
469,55586
1491,62757
101654,50594
829,6810
2411,45392
101465,60746
1056,48345
2511,12697
2759,7245
902,50594
2349,51433
104639,48797
101641,50594
102258,22159
101980,2130
2418,63301
2231,7245
1665,58672
104624,48797
1043,48797
101529,60746
102389,37104
470,44659
1169,48797
104578,31947
1600,48797
104627,48797
2022,45392
101373,60746
1378,7245
1339,51433
757,48797
1538,2836
2285,2130
101354,60746
1486,44659
102834,20976
32,51433
1330,63301
102027,5799
919,63301
2260,63301
893,48797
1239,63301
1501,63301
102226,22159
101606,50594
2435,48797
101273,60746
102337,25462
101442,60746
102048,5799
102073,5799
2094,48797
128,33909
101425,60746
468,55586
988,37104
104641,48797
1855,63301
102257,22159
2693,48797
101411,60746
1231,51433
102839,20976
1323,62171
1977,63301
1028,44659
1905,12697
2555,12697
2505,51433
929,54555
1077,63301
525,59525
675,26692
1409,63036
1065,28832
2147,43580
1229,17500
102290,45392
101783,63301
2644,48797
102151,8470
1933,44659
1857,23293
2425,48797
800,63301
1413,12697
2292,44476
2709,48345
102211,22159
2379,48345
1789,44659
1414,62757
703,48345
102068,5799
101708,12532
101299,60746
906,51433
2627,48345
102127,8470
1240,63301
1570,51433
1467,60746
1641,33909
1544,51433
2129,20231
2074,63301
101633,50594
609,20231
1684,51433
101632,50594
1064,51433
1760,63301
104634,48797
1921,57749
1085,44659
2054,48345
102139,8470
761,48797
102828,20976
101644,50594
101806,48345
101773,63301
2690,8470
101312,60746
101695,57749
450,62757
1831,58672
101889,44476
101823,48345
101722,7245
5,63301
102106,8470
101426,60746
104687,16973
101771,63301
2637,63301
1754,63301
1265,57749
1932,44476
101755,63301
1844,5799
1837,12697
2544,63301
2692,57749
102274,45392
144,7245
102067,5799
2524,51433
2750,48345
2044,25462
821,54555
102321,33909
101302,60746
1026,7245
102122,8470
603,48345
1437,27011
2696,27011
1131,64686
105,33909
1566,63301
685,7245
294,27011
2157,18611
942,27011
350,44659
958,27011
857,27011
2675,28868
1025,27011
1245,27011
1625,27011
104146,57992
16,44659
1661,27011
1802,27011
1204,27011
1355,27011
1818,27011
1326,27011
1181,27011
1401,27011
2227,27011
1524,27011
1051,27011
732,27011
2367,62757
1856,63301
1511,63301
1352,2836
2159,35115
2770,12697
145,48345
2426,44659
101508,60746
865,51433
1724,3333
101449,60746
101507,60746
102078,5799
101970,51433
104643,48797
102191,62757
101496,60746
663,8470
383,63301
101936,5833
103619,62987
1771,12697
960,48797
156,32649
2163,60746
2657,50594
2345,20231
1903,57749
1515,12532
582,61501
1027,7245
1109,7245
1126,7245
1128,7245
1267,7245
1388,7245
1747,7245
2290,7245
2520,7245
235,40542
441,40542
1348,40542
2444,40542
2725,40542
1176,52180
62,63301
399,63301
1094,63301
1328,63301
1759,63301
1898,63301
19,48345
1620,48345
2291,48345
2482,48345
480,44476
2582,44476
270,44659
421,44659
447,44659
938,44659
1029,44659
1362,44659
1438,44659
1515,44659
1579,44659
1651,44659
2198,44659
2304,44659
2671,44659
2452,5833
2607,5833
2663,5833
83,51433
136,51433
269,51433
316,51433
352,51433
526,51433
591,51433
638,51433
670,51433
677,51433
684,51433
686,51433
735,51433
751,51433
794,51433
833,51433
872,51433
904,51433
931,51433
948,51433
996,51433
1089,51433
1097,51433
1160,51433
1177,51433
1298,51433
1321,51433
1322,51433
1363,51433
1364,51433
1385,51433
1391,51433
1395,51433
1415,51433
1425,51433
1474,51433
1515,51433
1537,51433
1543,51433
1588,51433
1589,51433
1669,51433
1726,51433
1739,51433
1810,51433
1863,51433
1864,51433
1879,51433
1904,51433
1928,51433
1938,51433
1958,51433
1971,51433
1975,51433
2004,51433
2091,51433
2110,51433
2181,51433
2206,51433
2303,51433
2307,51433
2323,51433
2325,51433
2404,51433
2526,51433
2534,51433
2575,51433
2586,51433
2613,51433
2623,51433
2641,51433
2662,51433
2668,51433
2671,51433
2707,51433
2710,51433
2717,51433
1937,28832
1893,8470
2370,8470
2702,8470
402,22159
1443,22159
19,45392
1593,45392
2397,45392
2600,45392
2671,45392
325,33909
1632,33909
510,25462
70,12697
236,12697
254,12697
409,12697
424,12697
602,12697
658,12697
828,12697
847,12697
900,12697
1034,12697
1297,12697
1727,12697
1753,12697
1767,12697
1865,12697
1866,12697
2050,12697
2249,12697
2399,12697
2468,12697
2513,12697
2564,12697
2665,12697
1604,12697
2630,12697
818,58672
1774,58672
2478,58672
2485,59480
1515,25770
1583,62987
2671,53263
2395,43580
104113,43580
2172,18611
2458,31607
760,28868
768,28868
830,28868
1058,28868
1145,28868
2674,28868
1422,64686
1798,64686
146,48797
263,48797
564,48797
782,48797
892,48797
930,48797
933,48797
953,48797
986,48797
1246,48797
1542,48797
1935,48797
2040,48797
2082,48797
2121,48797
2180,48797
2209,48797
2213,48797
2221,48797
2535,48797
2629,48797
2495,43262
418,59683
680,59683
1717,59683
2397,27011
2657,27011
2657,65516
2397,61548
2771,44659
1436,27011
2751,44659
1900,12697
2753,45392
934,48797
1842,9999
1876,9999
104323,9999
104187,9999
103737,9999
104348,9999
104170,9999
100422,9999
103768,9999
103756,9999
104368,9999
104259,9999
103761,9999
104143,9999
103753,9999
104278,9999
104308,9999
104338,9999
104331,9999
167,9999
102639,9999
104282,9999
103692,9999
104356,9999
103755,9999
103735,9999
103174,9999
104211,9999
504,9999
104280,9999
104263,9999
104294,9999
104244,9999
104125,9999
104359,9999
102374,9999
100075,9999
102404,9999
104190,9999
100021,9999
104284,9999
100737,9999
100691,9999
104350,9999
1699,9999
2317,9999
104189,9999
104258,9999
103715,9999
104353,9999
776,9999
2320,9999
103714,9999
2314,9999
102477,9999
102640,9999
103691,9999
104255,9999
104873,9999
104299,9999
104147,9999
